experimento,problema,run,tam_poblacion,n_generaciones,nc,nm,prob_cruce,prob_mutacion,torneo,penalizacion,BB,LOP,ILI,HEAL,QUI,AUA,rendimiento,riesgo,fitness,err_rendimiento,err_riesgo,tiempo_seg
3,P3,1,200,500,15,20,0.9,0.05,3,100000.0,0.249863,0.208491,0.025294,0.201953,0.199578,0.114821,0.390061,0.002,-0.390061,N/A,0.0,0
3,P3,2,200,500,15,20,0.9,0.05,3,100000.0,0.247646,0.21109,0.024529,0.2103,0.189617,0.116818,0.390135,0.001999,-0.390135,N/A,1e-06,0
3,P3,3,200,500,15,20,0.9,0.05,3,100000.0,0.243227,0.213982,0.022377,0.204157,0.201862,0.114395,0.390149,0.002,-0.390149,N/A,0.0,0
3,P3,4,200,500,15,20,0.9,0.05,3,100000.0,0.247364,0.207404,0.025086,0.208993,0.191374,0.119779,0.390131,0.002,-0.390131,N/A,0.0,0
3,P3,5,200,500,15,20,0.9,0.05,3,100000.0,0.250452,0.205734,0.025477,0.20686,0.195221,0.116256,0.390084,0.002,-0.390084,N/A,0.0,0
3,P3,6,200,500,15,20,0.9,0.05,3,100000.0,0.246579,0.206119,0.025233,0.209306,0.190265,0.122497,0.390043,0.002,-0.390043,N/A,0.0,0
3,P3,7,200,500,15,20,0.9,0.05,3,100000.0,0.250312,0.201361,0.025594,0.21419,0.186956,0.121586,0.389799,0.002,-0.389799,N/A,0.0,0
3,P3,8,200,500,15,20,0.9,0.05,3,100000.0,0.248434,0.206067,0.025131,0.208516,0.193058,0.118794,0.390069,0.001999,-0.390069,N/A,1e-06,0
3,P3,9,200,500,15,20,0.9,0.05,3,100000.0,0.246007,0.206914,0.02489,0.202078,0.199443,0.120668,0.389979,0.002,-0.389979,N/A,0.0,0
3,P3,10,200,500,15,20,0.9,0.05,3,100000.0,0.247455,0.208329,0.024896,0.20722,0.194007,0.118093,0.390167,0.002,-0.390167,N/A,0.0,0
3,P3,11,200,500,15,20,0.9,0.05,3,100000.0,0.254265,0.199967,0.027282,0.215499,0.179462,0.123525,0.389481,0.002,-0.389481,N/A,0.0,0
3,P3,12,200,500,15,20,0.9,0.05,3,100000.0,0.245818,0.209021,0.024939,0.209976,0.188164,0.122083,0.390059,0.002,-0.390059,N/A,0.0,0
3,P3,13,200,500,15,20,0.9,0.05,3,100000.0,0.245948,0.209439,0.024371,0.208914,0.192553,0.118775,0.390189,0.002,-0.390189,N/A,0.0,0
3,P3,14,200,500,15,20,0.9,0.05,3,100000.0,0.246807,0.207273,0.025,0.209514,0.190731,0.120674,0.390112,0.002,-0.390112,N/A,0.0,0
3,P3,15,200,500,15,20,0.9,0.05,3,100000.0,0.247406,0.208824,0.024994,0.21323,0.184771,0.120773,0.390024,0.002,-0.390024,N/A,0.0,0
