Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -4.882817156826036e-06, 1.0000058364923827, 1.0000116844729678, -4.882817156826036e-06, -4.119999046324774, 19.684664853492357, 1.0000116844729678, 1.8629298678359767, 0.01, 0.1
1, 1.0000058364923827, 0.9599960327110599, 2.2358344457411476, 1.0006308370884298, 0.9599960327110599, 2.2371633912813635, 2.2358344457411476, 0.00013222308142957947, 0.05, 0.2
2, -4.882817156826036e-06, 4.882817156826036e-06, 9.460091376922719e-09, -4.882817156826036e-06, 0.6400054931693013, 16.783580990138546, 9.460091376922719e-09, 2.3493881333609834, 0.1, 0.3
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.905007653243688, -2.879997863767494, -78.32279073722911, -2.905007653243688, -2.879997863767494, -78.32279073722911, -78.32279073722911, 0.0, 0.01, 0.1
1, -2.8999978828409985, -2.905007653243688, -78.33207787701335, -2.8999978828409985, 2.214997229573469, -60.84269682246344, -78.33207787701335, 2.447078675089426, 0.05, 0.2
2, -2.879997863767494, -2.902497885225187, -78.32280974803874, -2.879997863767494, -4.182499105929476, -36.551549587976226, -78.32280974803874, 5.548604424230146, 0.1, 0.3
3, -2.9037576520515938, -2.8999978828409985, -78.33211458062418, 2.216247230765563, -2.8999978828409985, -60.85669315487201, -78.33211458062418, 2.58267905558681, 0.2, 0.4
4, -2.903435386119257, -2.9035330424623895, -78.33233123928201, -2.903435386119257, -0.3435306010538115, -40.96213466264142, -78.33233123928201, 5.448223119058302, 0.3, 0.5
5, -2.879997863767494, -2.879997863767494, -78.31332520369028, -2.879997863767494, -0.3199954223589154, -40.770585140381556, -78.31332520369028, 6.780479694004863, 0.4, 0.6
6, -2.879997863767494, -2.879997863767494, -78.31332520369028, -4.159999084471783, -2.869997854230742, -38.24990966204007, -78.31327801064107, 9.539906415252348, 0.5, 0.7
7, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -2.901023274443888, -0.3199954223589154, -40.779979330432724, -78.32279908977574, 8.100303304575629, 0.6, 0.8
8, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.268378094080061, -2.9035330424623895, -29.622603607069603, -78.33222334087932, 9.862821954414551, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9035330424623895, -4.183661216412751, -36.471613030737124, -78.3306140137592, 12.529991286703678, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.905007653243688, -2.5599877929571084, -76.51997073595294, -2.905007653243688, -2.5587377917650147, -76.50757019854436, -76.51997073595294, 0.0012337857732019647, 0.01, 0.1
1, -2.8999978828409985, -2.905007653243688, -78.33207787701335, -2.9399979209880076, -2.905007653243688, -78.30902032552294, -78.33207787701335, 0.002375803825611053, 0.05, 0.2
2, -2.879997863767494, -2.9037576520515938, -78.32282744083994, -2.879997863767494, -4.183758872755883, -36.45458851648687, -78.32282744083994, 6.082710025955693, 0.1, 0.3
3, -2.905007653243688, -2.879997863767494, -78.32279073722911, -2.905007653243688, -4.159999084471783, -38.26910104909421, -78.32279073722911, 5.607467990790484, 0.2, 0.4
4, -2.902497885225187, -2.8999978828409985, -78.33209688782298, 2.21750699759197, -2.8999978828409985, -60.87077753847979, -78.33209688782298, 1.7489426859004678, 0.3, 0.5
5, -2.879997863767494, -2.9035330424623895, -78.32282830559978, -2.879997863767494, -4.183690513315691, -36.459853594266676, -78.32282830559978, 8.077867845950777, 0.4, 0.6
6, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9035330424623895, -36.48138959761498, -78.33233129931071, 10.037337687264756, 0.5, 0.7
7, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -4.1835342631666785, -2.879997863767494, -36.47188649570549, -78.32279685777539, 7.443639266509022, 0.6, 0.8
8, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.183690513315691, -2.903630698805522, -36.46935653459336, -78.33221545980038, 9.150059047190435, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.183456138092173, -2.903552573731016, -36.487405227463135, -78.33229732613347, 12.44267680106336, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.839997825620485, -2.879997863767494, -78.25450629601099, -3.1599981307965574, -2.879997863767494, -77.08537770537886, -78.25450629601099, 0.11632682600411345, 0.01, 0.1
1, -2.9035428080967027, -2.879997863767494, -78.32282830428348, -2.9035428080967027, -2.799997787473476, -78.15335818862229, -78.32282830428348, 0.016880045808544315, 0.05, 0.2
2, -2.905007653243688, -2.9036014019025824, -78.33229376066262, -0.3450052118351099, -2.9036014019025824, -40.97382352105766, -78.33229376066262, 3.7204991419159112, 0.1, 0.3
3, -2.9200076675488162, -2.8999978828409985, -78.32739685807337, -4.200008888253105, -2.8999978828409985, -35.20045222352996, -78.32739685807337, 7.828740195642987, 0.2, 0.4
4, -2.903513511193763, -2.903435386119257, -78.33233123202032, -4.183514731898052, -2.903435386119257, -36.48289338926453, -78.33233123202032, 6.108380529241009, 0.3, 0.5
5, -2.9035330424623895, -2.8999978828409985, -78.332115445384, -4.1835342631666785, -2.8999978828409985, -36.481173635489725, -78.33211544142775, 6.381920623319122, 0.4, 0.6
6, -2.9035330424623895, -2.9037576520515938, -78.33233054274942, -4.1835342631666785, -2.9037576520515938, -36.481388732855144, -78.3323302986677, 9.432215408643097, 0.5, 0.7
7, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.183573325703931, -2.9035330424623895, -36.4783815759949, -78.33232463312014, 9.922093906895432, 0.6, 0.8
8, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9028982762320292, -4.183553794435305, -36.47987861640091, -78.33189856305228, 11.612457352277803, 0.7, 0.9
9, -2.879997863767494, -2.879997863767494, -78.31332520369028, -2.719919586104952, -4.15998931883747, -37.722278997969504, -78.30852954403387, 10.644617729585233, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.9038357771261, -2.9200076675488162, -78.32761124561586, -2.9038357771261, -2.9200076675488162, -78.32761124561586, -78.32761124561586, 1.4210854715202004e-14, 0.01, 0.1
1, -2.879997863767494, -2.903435386119257, -78.32282813737251, -2.7199977111794578, -2.903435386119257, -77.78519104276951, -78.32282813737251, 0.05351937750582401, 0.05, 0.2
2, -2.879997863767494, -2.905007653243688, -78.32279073722911, -2.879997863767494, -4.185008873947977, -36.3582394393605, -78.32279073722911, 6.017486737979438, 0.1, 0.3
3, -2.8999978828409985, -2.879997863767494, -78.32261234347452, -4.1799991035452875, -2.879997863767494, -36.74355047026154, -78.32261234347452, 8.243202502768877, 0.2, 0.4
4, -2.9035330424623895, -2.903513511193763, -78.33233140024757, -2.9035330424623895, -4.183514731898052, -36.482893557491785, -78.33233140024757, 7.078137542448329, 0.3, 0.5
5, -2.905007653243688, -2.905007653243688, -78.33225627076794, -0.3450052118351099, -2.905007653243688, -40.97378603116297, -78.332255771066, 6.2443188558090394, 0.4, 0.6
6, -2.9037576520515938, -2.9035330424623895, -78.33233054274943, -2.9038357771261, -4.1835342631666785, -36.481388023032224, -78.33233054175852, 8.94218877108961, 0.5, 0.7
7, -2.879997863767494, -2.9035330424623895, -78.32282830559978, -4.159999084471783, -2.9035330424623895, -38.269138617464876, -78.32280716146471, 9.54237288902586, 0.6, 0.8
8, -2.9035330424623895, -2.9037576520515938, -78.33233054274942, -0.3435306010538115, -0.34145052094509154, -3.5755066612071884, -78.33222703275865, 12.878945693606383, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.184784264358773, -2.903679526977088, -36.38506515595954, -78.33222334087934, 10.491736803634604, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.8999978828409985, -2.5599975585914216, -76.51988907802118, -2.8999978828409985, -2.5599975585914216, -76.51988907802118, -76.51988907802118, 1.4210854715202004e-14, 0.01, 0.1
1, -2.903435386119257, -2.9200076675488162, -78.32761265197135, -4.1834366068235465, -2.9200076675488162, -36.48419047014235, -78.32761265197135, 4.163131525769607, 0.05, 0.2
2, -2.9035330424623895, -2.879997863767494, -78.32282830559977, 2.2164718403547674, -2.879997863767494, -60.84991875177706, -78.32282830559977, 2.5650672373871912, 0.1, 0.3
3, -2.879997863767494, -2.879997863767494, -78.31332520369028, 2.2400070190496626, -2.879997863767494, -61.10938395646295, -78.31332520369028, 2.4076896488164037, 0.2, 0.4
